Commune,Departement,Code INSEE,D102.0,Année
Abbéville-la-Rivière,91,91001,,2012
Ableiges,95,95002,,2012
Ablis,78,78003,2.37,2012
Ablon-sur-Seine,94,94001,2.05,2012
Achères,78,78005,,2012
Achères-la-Forêt,77,77001,,2012
Adainville,78,78006,3.05,2012
Aigremont,78,78007,1.88,2012
Aincourt,95,95008,,2012
Alfortville,94,94002,2.05,2012
Allainville,78,78009,2.37,2012
Amenucourt,95,95012,,2012
Amillis,77,77002,,2012
Andelu,78,78013,,2012
Andilly,95,95014,2.05,2012
Andrezel,77,77004,,2012
Andrésy,78,78015,,2012
Angerville,91,91016,,2012
Angervilliers,91,91017,,2012
Annet-sur-Marne,77,77005,,2012
Antony,92,92002,2.05,2012
Arbonne-la-Forêt,77,77006,,2012
Arcueil,94,94003,,2012
Argenteuil,95,95018,2.05,2012
Argentières,77,77007,,2012
Armentières-en-Brie,77,77008,1.92,2012
Arnouville,95,95019,,2012
Arnouville-lès-Mantes,78,78020,,2012
Arpajon,91,91021,,2012
Arrancourt,91,91022,,2012
Asnières-sur-Oise,95,95026,,2012
Asnières-sur-Seine,92,92004,,2012
Athis-Mons,91,91027,2.05,2012
Attainville,95,95028,2.89,2012
Aubergenville,78,78029,,2012
Aubervilliers,93,93001,2.05,2012
Aufferville,77,77011,,2012
Auffreville-Brasseuil,78,78031,,2012
Augers-en-Brie,77,77012,,2012
Aulnay-sous-Bois,93,93005,2.05,2012
Aulnay-sur-Mauldre,78,78033,,2012
Aulnoy,77,77013,,2012
Auteuil,78,78034,,2012
Authon-la-Plaine,91,91035,1.52,2012
Autouillet,78,78036,,2012
Auvernaux,91,91037,,2012
Auvers-Saint-Georges,91,91038,,2012
Auvers-sur-Oise,95,95039,2.05,2012
Avernes,95,95040,,2012
Avon,77,77014,,2012
Avrainville,91,91041,,2012
Baby,77,77015,,2012
Bagneaux-sur-Loing,77,77016,,2012
Bagneux,92,92007,2.05,2012
Bagnolet,93,93006,,2012
Baillet-en-France,95,95042,2.89,2012
Bailly,78,78043,4.22,2012
Bailly-Romainvilliers,77,77018,,2012
Ballainvilliers,91,91044,,2012
Ballancourt-sur-Essonne,91,91045,,2012
Balloy,77,77019,,2012
Bannost-Villegagnon,77,77020,,2012
Barbey,77,77021,2.08,2012
Barbizon,77,77022,,2012
Barcy,77,77023,,2012
Bassevelle,77,77024,,2012
Baulne,91,91047,,2012
Bazainville,78,78048,,2012
Bazoches-lès-Bray,77,77025,,2012
Bazoches-sur-Guyonne,78,78050,,2012
Beauchamp,95,95051,2.05,2012
Beauchery-Saint-Martin,77,77026,,2012
Beaumont-du-Gâtinais,77,77027,,2012
Beaumont-sur-Oise,95,95052,,2012
Beautheil-Saints,77,77433,,2012
Beauvoir,77,77029,,2012
Bellefontaine,95,95055,2.15,2012
Bellot,77,77030,,2012
Belloy-en-France,95,95056,3.06,2012
Bennecourt,78,78057,,2012
Bernay-Vilbert,77,77031,2.02,2012
Bernes-sur-Oise,95,95058,,2012
Bessancourt,95,95060,2.05,2012
Beton-Bazoches,77,77032,,2012
